Name,Metaphor,Source Word,Target word,Target word
எவனோ ஒருவன் வாசிக்கிறான்,தவம்போல் இருந்து யோசிக்கிறேன்,தவம்,யோசிக்கிறேன்,யோசிக்கிறேன்
எவனோ ஒருவன் வாசிக்கிறான்,அந்தக் குழலைபோல் அழுவதற்கு அத்தனை கண்கள் எனக்கில்லையே,குழலை,அழுவதற்கு,
என்ன சொல்லப் போகிறாய்,இதயம் ஒரு கண்ணாடி,கண்ணாடி,இதயம்,இதயம்
ஸ்மையை,மேக்னெட் விழியால்,மேக்னெட் ,விழியால்,விழியால்
ஸ்மையை,பூவானேன்,பூ,,
ஸ்மையை,தேனானேன்,தேனானேன்,,
இஞ்சிருங்கோ இஞ்சிருங்கோ,பூமியே துரும்புங்க,துரும்பு,பூமியே,பூமியே
இஞ்சிருங்கோ இஞ்சிருங்கோ,வானமே தூசுங்க,தூசு,வானமே,வானமே
இஞ்சிருங்கோ இஞ்சிருங்கோ,உருவமே தங்க சாயலாய்,தங்க சாயலாய்,உருவமே,உருவமே
போர்க்களம் அங்கே,புன்னகை தீவே,புன்னகை தீவே,,
ஸ்வாசமே ஸ்வாசமே,ஸ்வாசமே,ஸ்வாசமே,,
ஸ்வாசமே ஸ்வாசமே,ஜன்னல் காற்றாகி வா,ஜன்னல் காற்றாகி,,
ஸ்வாசமே ஸ்வாசமே,ஜரிகைப் பூவாகி வா,ஜரிகைப் பூ,,
ஸ்வாசமே ஸ்வாசமே,மின்னல் மழையாகி வா,மின்னல் மழை,,
ஸ்வாசமே ஸ்வாசமே,உயிரின் மூச்சாகி வா,உயிரின் மூச்சாகி,,
ஸ்வாசமே ஸ்வாசமே,இசைத்தட்டு போலே இருந்த என் நெஞ்சை,இசைத்தட்டு,நெஞ்சை,நெஞ்சை
ஸ்வாசமே ஸ்வாசமே,நெஞ்சை பறக்கும் தட்டாக பறந்திடச்செய்தாய்,பறக்கும் தட்டாக,நெஞ்சை,நெஞ்சை
ஸ்வாசமே ஸ்வாசமே,நதிகளில்லாத அரபு தேசம் நான்,நதிகளில்லாத அரபு தேசம்,நான்,நான்
ஸ்வாசமே ஸ்வாசமே,நைல் நதியாக எனக்குள்ளே வந்தாய்,நைல் நதி,,
ஸ்வாசமே ஸ்வாசமே,நிலவு இல்லாத புதன் கிரகம் நானே,நிலவு இல்லாத புதன் கிரகம்,நானே,நானே
ஸ்வாசமே ஸ்வாசமே,முழு நிலவாக என்னுடன் சேர்ந்தாய்,முழு நிலவாக,,
மனசுக்குள் ஒரு புயல்,"மூங்கிலுக்குள்நுழைகின்ற காற்றுமுக்தி பெற்று திரும்புதல்போல உன் மடியில்
சொல்லால் விழுந்தவன்",காற்று முக்தி பெற்று திரும்புதல் போல,உன் மடியில் சொல்லால் விழுந்தவன்,
மனசுக்குள் ஒரு புயல்,கவியாய் முளைத்தேன்,கவியாய்,,
நீதான் என் தேசிய கீதம்,நீதான் என் தேசிய கீதம்,தேசிய கீதம்,நீதான்,
நீதான் என் தேசிய கீதம்,என் ஒரே பாடலே,பாடலே,,
சொல்லாயோ சோலைக்கிளி,சோலைக் கிளி,சோலைக் கிளி,,
சொல்லாயோ சோலைக்கிளி,பச்சைக் கிளைஇலைகளுக்குள்ளேபச்சைக் கிளி ஒளிதல்போல இச்சைக் காதல்நானும் மறைத்தேன்,பச்சைக் கிளி ஒளிதல்,மறைத்தேன்,மறைத்தேன்
சொல்லாயோ சோலைக்கிளி,பச்சைக் கிளி மூக்கைப் போல,பச்சைக் கிளி மூக்கை,மூக்கு,மூக்கு
மாயா மாயா,தாமரை இளைத்த நீர் போல்,தாமரை இளைத்த நீர்,,
மாயா மாயா,திரைகடல் மேல்எண்ணெய் துளியினை போல்,திரைகடல் மேல்எண்ணெய் துளி,,
சொன்னாலும்,விழி சிறையில்,சிறையில்,விழி,விழி
சொன்னாலும்,நதி என நான் நடந்தேன்,நதி,நடந்தேன்,
சொன்னாலும்,கடலே,கடலே,,
வான் நிலா,வான் நிலா தரும் ஒளி இவள் விழி,வான் நிலா தரும் ஒளி,விழி,விழி
வான் நிலா,தேன் பலா தரும் சுவை இவள் மொழி,தேன் பலா தரும் சுவை,மொழி,மொழி
வான் நிலா,பாற்புகழ் நைல் நதி இவள் நடை,பாற்புகழ் நைல் நதி,நடை,நடை
வான் நிலா,தாமரை மலர்கொடி இவள் இடை,தாமரை மலர்க்கொடி,இடை,இடை
வான் நிலா,சிலு சிலுவென விழும் புது பனி துளியோ,சிலு சிலுவென விழும் பனி துளி,,
வான் நிலா,மழை எழுதும் முதல் கவியோ,மழை எழுதும் முதல் கவி,,
வான் நிலா,அந்த ஆகாயம் உந்தன் மேலாடும் நூலாடையோ,ஆகாயம்,நூலாடை,நூலாடை
வான் நிலா,ரதம்போல் நடந்தேன்,ரதம்,நடை,நடை
வான் நிலா,குறுஞ்சி மலர்போல் குலுங்கும்,குறிஞ்சி மலர்,,
ஏதோ ஏதோ ஒன்று,சூரியனை போலே என் முன்பு வந்தாய்,சூரியனை,,
ஏதோ ஏதோ ஒன்று,பனித்துளி போலே பணிந்துவிட்டேனே,பனித்துளி,,
ஏதோ ஏதோ ஒன்று,போதி மரம் போலே உந்தன் கண்கள்,போதி மரம்,கண்கள்,கண்கள்
மார்கண்டேயா,மேளம் போலே மேனியடி,மேளம்,மேனி,மேனி
மார்கண்டேயா,ஆடை கட்டி ஆடுகிற ஆவக்காய பாத்ததில்லே,ஆவக்காய்,,
நெஞ்சம் எல்லாம்,நீ முத்த பார்வை பார்க்கும் போதுஎன் முதுகு தண்டில்மின்னல் வெட்டும்,மின்னல் வெட்டும்,முத்த பார்வை,
நெஞ்சம் எல்லாம்,நீதானே மழை மேகம்,மழை மேகம்,நீதானே,
நெஞ்சம் எல்லாம்,ஹார்மோன் நதியில்,நதி,ஹார்மோன்,ஹார்மோன்
மயிலிறகே மயிலிறகே,மயிலிறகே,மயிலிறகே,,
மயிலிறகே மயிலிறகே,மழை நிலவே,மழை நிலவே,,
முன்பே வா,பூ பூவாய் பூப்போம்,பூ,,
முன்பே வா,சித்திர புன்னகை,சித்திர,புன்னகை,புன்னகை
முன்பே வா,நீரும் செம்புலசேறும் கலந்தது போலே கலந்தவர் நாம்,நீரும் செம்புலசேறும் கலந்தது,கலந்தவர் நாம்,கலந்தவர் நாம்
நியூயார்க் நகரம்,பேச்செல்லாம் தாலாட்டுப் போல,தாலாட்டு,பேச்செல்லாம்,பேச்செல்லாம்
காற்றில் ஓர் வார்தை,இளையக்கொடி,இளையக்கோடி,,
காற்றில் ஓர் வார்தை,மைவிழி பார்வைகள்,மை,விழி,விழி
ஆருயிரே,நீ இல்லாத ராத்திரியோ காற்றில்லாதஇரவாய் ஆகாதோ,காற்றில்லாதஇரவாய்,நீ இல்லாத ராத்திரி,நீ இல்லாத ராத்திரி
ஆருயிரே,முன் கோப குயிலே,முன் கோப குயிலே,,
ஆருயிரே,ஐந்து புலன்களின் அழகியே,ஐந்து புலங்களின் அழகி,,
மையா மையா,நான் சீனியில் செய்த கடல்,சீனியில் செய்த கடல்,நான்,
மையா மையா,வெள்ளை தங்கத்தில் செய்த உடல்,வெள்ளை தங்கத்தில்,உடல்,உடல்
மையா மையா,முரட்டு பூ,முரட்டு பூ,,
சஹானா,வெண்ணிலா,வெண்ணிலா,,
சஹானா,சஹாரா பூக்கள் பூத்ததோ,சஹாரா பூக்கள் பூத்ததோ,,
வாஜி வாஜி,பூவிழிப் பார்வை,பூ,விழி,விழி
வாஜி வாஜி,நெட்டை நிலவே,நெட்டை நிலவே,,
வாஜி வாஜி,ஒரு வெண்ணிலவை மணக்கும் மன்மதன்,வெண்ணிலவை,,
வாஜி வாஜி,புன்னகை பேர் அரசே,புன்னகை பேர் அரசே,,
வாஜி வாஜி,பொன் வாக்கியமே,பொன் வாக்கியமே,,
இதயம் இடம் மாறியதே,அழகிய நதி கலந்ததோ,அழகிய நதி,,
